"id","question","answer","category"
"what-is-pile-testing","What is pile testing and why is it important?","Pile testing is a quality assurance process that verifies the structural integrity and load-bearing capacity of foundation piles. It is crucial for ensuring that piles can safely support the intended structural loads and meet design specifications. We offer multiple testing methods including PDA (high-strain dynamic testing), PIT (low-strain integrity testing), static load testing, and cross-hole sonic logging. Each method provides different insights into pile performance, helping engineers make informed decisions about foundation safety.","services"
"difference-pda-pit","What is the difference between PDA and PIT testing?","PDA (Pile Driving Analyzer) is a high-strain dynamic test that measures pile capacity and integrity during or after driving. It applies large impact forces and provides data on bearing capacity, soil resistance, and pile stresses. PIT (Pile Integrity Test) is a low-strain test that checks for defects, cracks, or changes in cross-section. PIT is faster and less expensive, ideal for integrity verification, while PDA provides comprehensive capacity data. Many projects use both methods for complete quality assurance.","services"
"geophysical-surveys","What geophysical surveys do you offer?","We conduct three main types of geophysical surveys: MASW (Multi-channel Analysis of Surface Waves) for shear wave velocity profiling, ERT (Electrical Resistivity Tomography) for subsurface imaging and groundwater detection, and Seismic Refraction Surveys for bedrock depth and seismic site classification. These non-invasive methods provide valuable subsurface information for site characterization, tunnel planning, slope stability assessment, and seismic hazard evaluation.","services"
"drilling-depth","What is your maximum drilling depth?","Our rotary drilling rigs can reach depths of up to 700 meters, making us capable of handling the most demanding geotechnical investigation projects in Nepal. We offer vertical, inclined, and horizontal drilling for various applications including subsurface exploration, hydropower projects, tunnel investigations, and deep foundation studies. Our experienced drilling crews and modern equipment ensure efficient operations even in challenging mountainous terrain.","services"
"lab-testing","What laboratory testing services are available?","Our ISO 9001:2015 certified laboratory in Lalitpur offers comprehensive soil and rock testing. Soil tests include: compaction (Proctor), CBR, triaxial shear, direct shear, consolidation, grain size analysis, Atterberg limits, and permeability. Rock tests include: unconfined compressive strength (UCS), point load tests, triaxial testing, Brazilian tensile strength, and core analysis. We provide fast turnaround times with accurate, reliable results for your project needs.","services"
"ndt-services","What Non-Destructive Testing (NDT) services do you provide?","Our NDT services include: concrete integrity testing using ultrasonic pulse velocity (UPV), rebound hammer testing for strength estimation, rebar detection and scanning to locate reinforcement, core cutting and testing, flat jack testing for in-situ stress measurement, and equi-potential testing. These methods allow assessment of existing structures without causing damage, ideal for renovation projects, structural health monitoring, and forensic investigations.","services"
"how-to-get-quote","How do I request a quote for testing services?","You can request a quote by clicking the ""Request Quote"" button in the top navigation, filling out our online form, or contacting us directly at +977-01-5260121 or info@nsengineering.com.np. Please provide details about your project location, type of testing required, number of tests, and timeline. We typically respond within 24 hours with a detailed quotation. For urgent projects, call us directly for immediate assistance.","pricing"
"pricing-factors","What factors affect the cost of geotechnical testing?","Pricing depends on several factors: type and complexity of tests, number of test locations, site accessibility (remote sites require mobilization costs), depth of investigation, project urgency, and whether laboratory or field testing is required. Volume discounts are available for large projects. We provide transparent pricing with no hidden costs. Contact us with your project details for an accurate quote tailored to your specific requirements.","pricing"
"payment-terms","What are your payment terms?","We typically work on a milestone-based payment schedule: 30% advance upon contract signing, 40% during fieldwork/testing phase, and 30% upon report delivery. For long-term projects or regular clients, we offer flexible payment arrangements. We accept bank transfers, cheques, and cash payments. All invoices include detailed breakdowns of services rendered. Contact our billing department for specific payment arrangements for your project.","pricing"
"report-turnaround","How long does it take to receive test reports?","Standard turnaround time is 7-10 working days for laboratory tests and 5-7 days for field testing reports after completion of fieldwork. Urgent projects can be expedited (24-48 hours) with additional charges. Reports include test methodology, data tables, graphs, analysis, and recommendations. All reports are reviewed by senior engineers and comply with relevant international standards (ASTM, ISO, BS). Digital reports are provided via email, with hard copies available upon request.","technical"
