Project name,Capacity (MW),Location (district/province),Client (publicly listed),Project type,Investigation type,Drilling (verified),Sampling (verified),Laboratory testing (actually stated),Rock testing (actually stated),Geophysical survey (method stated),Slope investigation,Foundation investigation,Outcome,Evidence,Verification status
"Upper Trishuli -1 HEP (216MW)",216,"Rasuwa / Bagmati","Power Construction Corporation of China",Hydropower,"Geotechnical (scope stated)","Vertical, inclined and horizontal drilling; count/depth not stated","Rock sample testing stated","Not stated","Rock sample testing stated","Not stated","Not stated","Not stated","Supported geotechnical investigation; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#upper-trishuli; content/projects/projects.csv (id: upper-trishuli)","Public project record; scope verified, details limited"
"Nalgad Storage HPP (417MW)",417,"Jajarkot / Karnali","SMEC-MWH JV",Hydropower,"Geotechnical / rock mechanics (scope stated)","Drilling to 284 m stated; borehole count not stated","Rock sample testing stated","Not stated","Rock sample testing; 4 in-situ direct shear tests; 9 plate jacking tests","Not stated","Not stated","Not stated","Supported rock-mass characterization and in-situ testing; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-nalgad; content/projects/projects.csv (id: hydro-nalgad)","Public project record; depth and test counts verified"
"Lower Solu HEP (82MW)",82,"Solukhumbu / Koshi","Aera Consultant",Hydropower,"Geotechnical (scope stated)","Core drilling; count/depth not stated","Rock sample testing stated","Not stated","Rock sample testing stated","Not stated","Not stated","Not stated","Supported geotechnical investigation; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-lower-solu; content/projects/projects.csv (id: hydro-lower-solu)","Public project record; scope verified, details limited"
"Upper Bheri PRoR HEP (325MW)",325,"Dailekh / Karnali","Integrated Mobility Solutions",Hydropower,"Geophysical (scope stated)","Not stated","Not stated","Not stated","Not stated","ERT, SRT and MASW surveys stated","Not stated","Not stated","Supported subsurface and seismic-site characterization; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-upper-bheri; content/projects/projects.csv (id: hydro-upper-bheri)","Public project record; survey methods verified"
"Mewa Khola HEP (50MW)",50,"Sankhuwasabha / Koshi","Mewa Developers Ltd.",Hydropower,"Geotechnical (scope stated)","Core drilling; count/depth not stated","Not stated","Laboratory testing stated; test names not stated","Not stated","Not stated","Not stated","Not stated","Supported field and laboratory investigation, liquefaction analysis and bearing-capacity assessment","https://www.nsengineering.com.np/projects#hydro-mewa-khola; content/projects/projects.csv (id: hydro-mewa-khola)","Public project record; named analysis outputs verified"
"Bhotekoshi-1 HPP (44MW)",44,"Sindhupalchok / Bagmati","Electropower Company Limited",Hydropower,"Geotechnical / rock testing (scope stated)","Vertically upward drilling; count/depth not stated","Not stated","Not stated","Rock testing stated; test names not stated","Not stated","Not stated","Not stated","Supported drilling and rock testing; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-bhotekoshi; content/projects/projects.csv (id: hydro-bhotekoshi)","Public project record; scope verified, details limited"
"Upper Arun PRoR HEP (1063.36MW)",1063.36,"Sankhuwasabha / Koshi","NEA Engineering Company",Hydropower,"Rock mechanics (scope stated)","Not stated","Not stated","Not stated","Block shear, plate jacking and dilatometer tests stated","Not stated","Not stated","Not stated","Supported in-situ rock-mechanics characterization; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-upper-arun; content/projects/projects.csv (id: hydro-upper-arun)","Public project record; test types verified"
"Super Trishuli HEP (100 MW)",100,"Nuwakot / Bagmati","CE Construction",Hydropower,"Geotechnical (scope stated)","Not stated","Not stated","Not stated","Direct shear test stated; in-situ/laboratory status not stated","Not stated","Not stated","Not stated","Supported geotechnical investigation and direct-shear testing; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-super-trishuli; content/projects/projects.csv (id: hydro-super-trishuli)","Public project record; scope verified, details limited"
"Upper Tamor 'A' HPP (60MW)",60,"Taplejung / Koshi","Union Hydropower Ltd",Hydropower,"Geotechnical (scope stated)","Drilling; count/depth not stated","Sampling stated; material type not stated","Not stated","Not stated","Not stated","Not stated","Not stated","Supported detailed geotechnical investigation; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-upper-tamor; content/projects/projects.csv (id: hydro-upper-tamor)","Public project record; scope verified, details limited"
"Phukot Karnali PRoR HEP (480MW)",480,"Kalikot / Karnali","Vidhyut Utpadan Company Ltd",Hydropower,"Rock mechanics (scope stated)","Not stated","Not stated","Not stated","In-situ rock mechanical testing stated; test names not stated","Not stated","Not stated","Not stated","Supported in-situ rock-mechanics testing; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-phukot-karnali; content/projects/projects.csv (id: hydro-phukot-karnali)","Public project record; scope verified, details limited"
"Kaligandaki Gorge PRoR HPP (180MW)",180,"Mustang / Gandaki","Kaligandaki Gorge Hydropower Pvt. Ltd.",Hydropower,"Geotechnical (scope stated)","Drilling; count/depth not stated","Sampling stated; material type not stated","Not stated","Not stated","Not stated","Not stated","Not stated","Supported detailed geotechnical investigation; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-kaligandaki; content/projects/projects.csv (id: hydro-kaligandaki)","Public project record; scope verified, details limited"
"Thulo Khola HPP (21.3 MW)",21.3,"Myagdi / Gandaki","Sakura Power-Triple S. JV",Hydropower,"Geotechnical / permeability (scope stated)","Not stated","Not stated","Not stated","In-situ Lugeon test stated","Not stated","Not stated","Not stated","Supported in-situ permeability assessment; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-thulo-khola; content/projects/projects.csv (id: hydro-thulo-khola)","Public project record; test type verified"
"Middle Hongu Khola -B HEP (22.9MW)",22.9,"Solukhumbu / Koshi","Gaurishankar Power Development Pvt. Ltd",Hydropower,"Geotechnical / permeability (scope stated)","Not stated","Not stated","Not stated","In-situ Lugeon test stated","Not stated","Not stated","Not stated","Supported in-situ permeability assessment; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-middle-hongu; content/projects/projects.csv (id: hydro-middle-hongu)","Public project record; test type verified"
"Upper Modi 'A' HEP (42MW)",42,"Kaski / Gandaki","SSCE-HIGH HIMALAYA JV",Hydropower,"Geotechnical and geophysical (scope stated)","Not stated","Not stated","Not stated","Not stated","Geophysical investigation stated; method not stated","Not stated","Not stated","Supported detailed geotechnical and geophysical investigation; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-upper-modi; content/projects/projects.csv (id: hydro-upper-modi)","Public project record; investigation categories verified"
"Mathillo Chhujung Khola HEP (50.50 MW)",50.5,"Sankhuwasabha / Koshi","White Flower Energy Company Pvt. Ltd.",Hydropower,"Geotechnical and geophysical (scope stated)","Not stated","Not stated","Not stated","Not stated","Geophysical investigation stated; method not stated","Not stated","Not stated","Supported detailed geotechnical and geophysical investigation; specific design decision not stated publicly","https://www.nsengineering.com.np/projects#hydro-mathillo-chhujung; content/projects/projects.csv (id: hydro-mathillo-chhujung)","Public project record; investigation categories verified"
