id,title,client,category,year,location_name,location_district,coordinates_lat,coordinates_lng,scope,images,pdfs,hero_image,featured
ktft-fast-track,"KTFT Project (Fast Track)","Kumar-Roshan-Sichuwan JV",pile-testing,2024,"Kathmandu Valley",Kathmandu,27.7172,85.3240,"50 nos PDA (Pile Driving Analyzer);17 nos Lateral Load Test;16 nos Cross Hole Sonic Logging","","","",true
mugling-pokhara,"SAEC Mugling-Pokhara Highway Phase-I","ANK-ZIEC JV",pile-testing,2023,"Mugling-Pokhara",Tanahun,28.0965,84.3012,"7 nos PDA Testing","","","",false
kanchanpur-kamala,"Kanchanpur-Kamala Road Project","China Railway No.2 Engineering",pile-testing,2023,"Kanchanpur-Kamala",Kanchanpur,28.8384,80.5534,"42 nos PDA Testing;370 nos PIT (Pile Integrity Test);49 nos Static Load Test","","","",false
ktft-package-07,"KTFT Package-07","Xingrun-Ashish-Tundi JV",pile-testing,2024,"Kathmandu Valley",Kathmandu,27.6915,85.3145,"160 nos PIT;2 nos PDA;10 nos Lateral Load Test;60 nos Cross Hole Sonic Logging;2 nos Pile Pull Out Test;2 nos Plate Load Test;6 nos Anchorage Vertical Load Test;4 nos Rebar Pull Out Test","","","",true
mahendra-highway,"Mahendra Highway Upgrade Project","WEG-RCC JV",pile-testing,2023,"Mahendra Highway",Rupandehi,27.5234,83.4567,"156 nos PIT;6 nos PDA;5 nos Anchorage Load Test","","","",false
double-lane-expressway,"Double Lane Dual Carriageway Expressway","Xingrun-Ashish-Tundi JV",pile-testing,2024,Nepal,Kathmandu,27.7089,85.3206,"183 nos PIT;2 nos PDA;15 nos Lateral Load Test;93 nos Cross Hole Sonic Logging;3 nos Pile Pull Out Test;11 nos Plate Load Test;12 nos Anchorage Load Test;4 nos Rebar Pull Out Test","","","",false
mahadevtar-tunnel,"KTFT Mahadevtar Tunnel","Henan Communication & Planning Design Institute",tunnel-road,2023,"Kathmandu Valley",Kathmandu,27.7256,85.3378,"Drilling up to 320m depth;Rock sample testing;Magnetotelluric Survey (depth up to 800m)","","","",true
5-road-tunnels,"5 Road Tunnels Feasibility Study","Department of Road Maintenance",tunnel-road,2022,"Multiple Locations",Kathmandu,27.6983,85.3456,"2D ERT (Electrical Resistivity Tomography);Geological Study;Seismic hazard analysis;Tunnels: Kulekhani-Bhimphedi, Banepa-Sindhuli, Pokhara-Baglung, Lamjung-Besisahar, Butwal-Narayanghat","","","",false
ktft-cp10,"KTFT Package CP10","CREGC-COVEC JV",tunnel-road,2023,"Kathmandu Valley",Kathmandu,27.7334,85.2987,"Rotary drilling;ERT, SRT, MAM, MT surveys;Geological & Engineering Survey;Detailed Slope Investigation;Hydrological Survey","","","",false
ktft-cp8b,"KTFT Package CP8B","Molidan Construction Sewa",tunnel-road,2023,"Kathmandu Valley",Kathmandu,27.6789,85.3512,"Rotary Drilling;SRT (Seismic Refraction Tomography);Geological Survey;Hydrological Study;Seismic Safety analysis","","","",false
ktft-cp9b,"KTFT Package CP9B","XCGC-Hanuman Baniya JV",tunnel-road,2023,"Kathmandu Valley",Kathmandu,27.7445,85.3123,"Rotary drilling;ERT, SRT, MAM, MT surveys;Geological Survey;Slope Investigation","","","",false
upper-trishuli,"Upper Trishuli HEP","Power Construction Corporation of China",hydropower,2022,Rasuwa,Rasuwa,28.1514,85.3230,"Vertical, Inclined, Horizontal drilling;Rock sample testing;Geotechnical investigation","","","",true
nalgad,"Nalgad Hydropower Project","SMEC-MWH JV",hydropower,2021,Jajarkot,Jajarkot,28.8947,82.1908,"284m depth drilling;4 nos In-situ Direct Shear Test;9 nos Plate Jacking Test;Piezometer installation;Rock sample testing","","","",false
lower-solu,"Lower Solu HEP","Aera Consultant",hydropower,2021,Solukhumbu,Solukhumbu,27.5234,86.7123,"Core drilling;Rock sample testing;Geotechnical investigation","","","",false
upper-bheri,"Upper Bheri HEP 325 MW","Integrated Mobility Solutions",hydropower,2022,Dailekh,Dailekh,28.8456,81.7234,"ERT Survey;SRT Survey;MASW Survey","","","",false
mewa-khola,"Mewa Khola HEP 50 MW","Mewa Developers Ltd.",hydropower,2020,Sankhuwasabha,Sankhuwasabha,27.3567,87.1234,"Core drilling;Field testing;Laboratory testing;Liquefaction analysis;Bearing capacity assessment","","","",false
bhotekoshi,"Bhotekoshi 1 Hydropower","Electropower Company Limited",hydropower,2021,Sindhupalchok,Sindhupalchok,27.9845,85.8923,"Vertically upward drilling;Rock testing","","","",false
upper-arun,"Upper Arun HEP","NEA Engineering Company",hydropower,2022,Sankhuwasabha,Sankhuwasabha,27.4123,87.2345,"Block Shear Test;Plate jacking test;Dilatometer test","","","",false
super-trishuli,"Super Trishuli HEP (100 MW)","CE Construction",hydropower,2021,Nuwakot,Nuwakot,27.9234,85.1678,"Direct Shear Test;Geotechnical investigation","","","",false
upper-tamor,"Upper Tamor A Hydropower","Union Hydropower Ltd",hydropower,2022,Taplejung,Taplejung,27.3456,87.6543,"Detailed Geotechnical Investigation;Drilling and sampling","","","",false
amlekhgunj-substation,"Amlekhgunj 132/66/11KV Substation","TBEA Co. Ltd.",transmission,2021,Bara,Bara,27.0333,84.9167,"Detailed Geotechnical Investigation;Foundation design parameters","","","",false
kohalpur-surkhet,"Kohalpur-Surkhet-Upper Karnali 400KV","ELC Electroconsult SPA",transmission,2022,"Western Nepal",Surkhet,28.6012,81.6234,"Detailed Geotechnical Investigation;Tower foundation assessment","","","",false
tingla-anarmani,"Different Substation and Transmission Lines (SS9 Anarmani, SS4 Tingla, TL3)","ELC Electroconsult SPA",transmission,2022,"Eastern Nepal",Dhankuta,27.0456,87.3421,"Detailed Geotechnical Investigation;Foundation design","","","",false
inaruwa-arun,"TL1, Inaruwa-Arun Hub, SS3, SS1-Arun Hub Transmission Lines","ELC Electroconsult SPA",transmission,2023,"Eastern Nepal",Sunsari,26.6589,87.2734,"Detailed Geotechnical Investigation;Soil investigation for substations","","","",false
karmadev-phukot,"Karmadev-Phukot 400 kV Double Circuit Karnali Corridor","Jade Consult",transmission,2023,"Western Nepal",Dailekh,28.7834,81.5623,"Detailed Soil investigation;Tower foundation study","","","",false
france-embassy,"France Embassy, Lazimpath","Miyamoto International Nepal",ndt,2020,Kathmandu,Kathmandu,27.7172,85.3240,"Re-bar Scanning;Push Shear Test;Schmidt Hammer Test","","","",false
sanepa-apartment,"Sanepa Apartment, Lalitpur","Miyamoto International Nepal",ndt,2020,Lalitpur,Lalitpur,27.6823,85.3145,"Rebound Hammer Test;Rebar Scan;Core Cut;UPVT (Ultrasonic Pulse Velocity Test);Equi-potential test","","","",false
park-view-horizon,"Park View Horizon","Park View Horizon",ndt,2021,Kathmandu,Kathmandu,27.7089,85.3298,"Ultrasonic Pulse Velocity test;Structural assessment","","","",false
gopichandra-mahabihar,"Gopichandra Mahabihar, Lalitpur","Prakritik Sanu Suwal JV",ndt,2020,Lalitpur,Lalitpur,27.6734,85.3201,"Flat Jack test;Structural assessment","","","",false
skyone-tower,"Skyone Tower, Naxal","Skyline Developers",ndt,2021,Kathmandu,Kathmandu,27.7234,85.3312,"Rebound Hammer Test;Rebar Scan;UPVT","","","",false
lalbakaiya-bridge,"Lalbakaiya River Bridge (28 piles)","Road Division, Chandranigahapur",ndt,2022,Sarlahi,Sarlahi,26.9234,85.5678,"Schmidt Hammer Test;Ultrasonic Pulse Velocity;Rebar Scanning;MASW Survey","","","",false
british-gurkhas,"DIO (NEPAL) BRITISH GURKHAS","Miyamoto International Nepal",ndt,2021,Kathmandu,Kathmandu,27.7156,85.3267,"Rebar Scanning;Schmidt Rebound Hammer;Core Cutting;UCS Testing","","","",false
