Category,Item,Priority,Status,Notes,Responsible Party,Completion Date
Content Completeness,All page content finalized and proofread,Critical,Not Started,Review all pages for typos and accuracy,,
Content Completeness,Contact information verified (phone/email/address),Critical,Not Started,Verify all contact details are current and correct,,
Content Completeness,Team member profiles complete with photos,High,Not Started,Check all 5 team members have complete information,,
Content Completeness,All 49 projects have descriptions and images,High,Not Started,Verify project data completeness in Google Sheets,,
Content Completeness,Service descriptions accurate and complete,High,Not Started,Review all 17 services for accuracy,,
Content Completeness,eLibrary content uploaded (all 5 sections),Medium,Not Started,Check standard codes/publications/papers/downloads/newsletters,,
Content Completeness,FAQ content comprehensive (20 questions),Medium,Not Started,Review FAQ for completeness and clarity,,
Content Completeness,Company certifications and credentials listed,High,Not Started,Verify ISO 9001:2015 certification details,,
Content Completeness,Privacy Policy page complete,Critical,Not Started,Legal review recommended,,
Content Completeness,Terms of Service page complete,Critical,Not Started,Legal review recommended,,
Technical - Build,Production build completes without errors,Critical,Not Started,Run npm run build:cloud and verify success,,
Technical - Build,TypeScript type checking passes (0 errors),Critical,Not Started,Run npx tsc --noEmit,,
Technical - Build,ESLint passes with no errors,High,Not Started,Run npm run lint,,
Technical - Build,All environment variables configured,Critical,Not Started,Check .env.cloud has all required variables,,
Technical - Build,Google Sheets API credentials valid,Critical,Not Started,Test Google Sheets connection,,
Technical - Build,CSV fallback files up to date,High,Not Started,Ensure all CSV files exported from latest Sheets data,,
Technical - Build,Static export generates correctly,Critical,Not Started,Verify out/ directory contains all pages,,
Technical - Build,No hardcoded development URLs,Critical,Not Started,Search codebase for localhost references,,
Technical - Functionality,All navigation links work (no 404s),Critical,Not Started,Test every menu item and footer link,,
Technical - Functionality,Interactive project map loads and functions,Critical,Not Started,Test map clustering/markers/popups/filters,,
Technical - Functionality,Photo galleries work (all carousels),High,Not Started,Test Embla carousel on all pages,,
Technical - Functionality,Service filtering and search work,High,Not Started,Test service category filters,,
Technical - Functionality,Contact forms submit successfully,Critical,Not Started,Test form validation and submission,,
Technical - Functionality,Career application form works,High,Not Started,Test file upload and form submission,,
Technical - Functionality,Mobile navigation menu functions,Critical,Not Started,Test hamburger menu on mobile devices,,
Technical - Functionality,Evolution timeline animations work,Medium,Not Started,Test Framer Motion timeline on About page,,
Technical - Functionality,eLibrary document links work,High,Not Started,Test all PDF downloads and external links,,
Technical - Functionality,Search functionality works (if implemented),Medium,Not Started,Test site search if available,,
Performance,Lighthouse Performance score > 90,High,Not Started,Run Lighthouse audit on key pages,,
Performance,Lighthouse Accessibility score > 90,High,Not Started,Test with Lighthouse and fix issues,,
Performance,Lighthouse Best Practices score > 90,High,Not Started,Address all best practice warnings,,
Performance,Lighthouse SEO score > 90,High,Not Started,Fix SEO issues identified by Lighthouse,,
Performance,Page load time < 3 seconds (desktop),High,Not Started,Test with slow 3G throttling,,
Performance,Page load time < 5 seconds (mobile),High,Not Started,Test on actual mobile devices,,
Performance,Images optimized (WebP/compressed),High,Not Started,Check image sizes and formats,,
Performance,Core Web Vitals passing,High,Not Started,LCP < 2.5s/FID < 100ms/CLS < 0.1,,
Performance,Bundle size optimized,Medium,Not Started,Check JavaScript bundle size,,
Performance,Lazy loading implemented for images,Medium,Not Started,Verify images load progressively,,
Performance,Font loading optimized,Medium,Not Started,Check for FOUT/FOIT issues,,
SEO & Metadata,Unique meta titles on all pages,Critical,Not Started,Check title tags (50-60 characters),,
SEO & Metadata,Unique meta descriptions on all pages,Critical,Not Started,Check descriptions (150-160 characters),,
SEO & Metadata,Open Graph tags configured,High,Not Started,Test social media sharing preview,,
SEO & Metadata,Twitter Card tags configured,Medium,Not Started,Test Twitter sharing preview,,
SEO & Metadata,Canonical URLs set correctly,High,Not Started,Verify canonical tags on all pages,,
SEO & Metadata,Sitemap.xml generated and submitted,Critical,Not Started,Generate sitemap and submit to Google,,
SEO & Metadata,Robots.txt configured properly,Critical,Not Started,Verify robots.txt allows crawling,,
SEO & Metadata,Schema.org structured data added,High,Not Started,Add Organization/LocalBusiness schema,,
SEO & Metadata,Alt text on all images,High,Not Started,Verify all images have descriptive alt text,,
SEO & Metadata,Heading hierarchy correct (H1-H6),Medium,Not Started,Check proper heading structure,,
SEO & Metadata,Internal linking structure optimized,Medium,Not Started,Review internal link strategy,,
SEO & Metadata,Google Search Console configured,Critical,Not Started,Add property and verify ownership,,
SEO & Metadata,Google My Business listing updated,High,Not Started,Ensure business info matches website,,
Security,HTTPS/SSL certificate installed,Critical,Not Started,Verify site loads with https://,,
Security,SSL certificate auto-renewal configured,Critical,Not Started,Check certificate expiry and renewal,,
Security,No API keys/secrets in client code,Critical,Not Started,Search codebase for exposed credentials,,
Security,Security headers configured,High,Not Started,Check X-Frame-Options/CSP/HSTS headers,,
Security,CORS policy configured correctly,High,Not Started,Test API CORS if applicable,,
Security,Content Security Policy (CSP) set,High,Not Started,Configure CSP header,,
Security,Dependency vulnerabilities checked,High,Not Started,Run npm audit and fix issues,,
Security,Rate limiting on forms (if applicable),Medium,Not Started,Prevent spam/abuse on contact forms,,
Security,.env files properly gitignored,Critical,Not Started,Verify no secrets committed to Git,,
Security,Service account permissions minimal,High,Not Started,Google Sheets service account has Viewer only,,
Browser/Device Testing,Chrome desktop (latest),Critical,Not Started,Test all functionality,,
Browser/Device Testing,Firefox desktop (latest),Critical,Not Started,Test all functionality,,
Browser/Device Testing,Safari desktop (latest),Critical,Not Started,Test all functionality (macOS),,
Browser/Device Testing,Edge desktop (latest),High,Not Started,Test all functionality,,
Browser/Device Testing,Chrome mobile (Android),Critical,Not Started,Test on actual Android device,,
Browser/Device Testing,Safari mobile (iOS),Critical,Not Started,Test on actual iPhone/iPad,,
Browser/Device Testing,Tablet devices (iPad/Android),High,Not Started,Test responsive layout on tablets,,
